 Morbidade Hospitalar do SUS - por local de internação - Brasil
Valor total por Unidade da Federação e Ano processamento
Lista Morb  CID-10: Tuberculose pulmonar, Outras tuberculoses respiratórias, Restante de tuberculose respiratória, Tuberculose do sistema nervoso, Tuberc intest peritônio glângl mesentéricos, Tuberculose óssea e das articulações, Tuberculose do aparelho geniturinário, Tuberculose miliar, Restante de outras tuberculoses, Seqüelas de tuberculose
Período:Jan/2008-Abr/2021
"Unidade da Federação";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"27 Alagoas";93398,92;246422,46;447482,85;422251,36;654891,15;456860,31;232338,67;292579,41;308224,84;430166,07;371700,35;502219,17;484731,42;129076,18;5072343,16
"28 Sergipe";23390,56;46306,70;60479,31;24313,80;24431,12;20786,05;22507,92;25893,67;29086,94;58210,40;62923,90;105240,77;59880,67;8487,46;571939,27
"29 Bahia";1082877,10;1851381,12;2217443,57;1754021,24;410546,55;1533414,42;2039598,35;1889145,68;2369719,23;2288055,86;1842336,57;1616250,22;1932141,02;755796,58;23582727,51
"31 Minas Gerais";1990762,83;1996832,88;2230133,02;2483511,37;2137852,88;1969927,17;1602175,73;1873870,43;1993075,01;2263645,82;2690750,31;2632162,33;2538078,54;972305,17;29375083,49
"32 Espírito Santo";182896,67;242343,78;243625,87;449605,35;626049,71;524081,50;260705,87;265538,98;449271,71;333607,74;234382,26;301705,17;407683,28;243810,27;4765308,16
"33 Rio de Janeiro";1850260,55;2194731,49;2601525,00;3913562,25;3749990,27;3225107,53;2209759,72;3119547,86;2495227,63;2840851,76;3570688,67;3243382,99;3204446,14;963070,47;39182152,33
"35 São Paulo";3554786,49;3365014,44;3402800,62;8844575,89;11329544,72;8645304,12;8323227,43;8826777,51;9360899,27;8928891,95;9184552,16;9950936,16;10234691,59;3218751,91;107170754,26
"41 Paraná";2814166,89;2230511,58;2129682,22;1651795,84;1812951,36;1734884,68;1674964,30;2340919,91;1602356,88;1849554,68;1551977,03;1611284,00;2010226,08;604869,32;25620144,77
"42 Santa Catarina";441701,75;717801,83;639991,12;683020,87;497186,31;540973,54;771233,99;1170563,64;1037327,60;976861,81;1092535,53;1189434,51;1251514,43;322841,92;11332988,85
"43 Rio Grande do Sul";2603310,25;3270288,32;3561986,71;3388615,78;2915575,86;2114716,02;1847018,93;2122783,25;2124675,43;2272991,21;2354980,73;2998950,84;2945414,88;985201,53;35506509,74
"50 Mato Grosso do Sul";573797,07;423008,79;463500,17;364295,60;283474,89;462241,53;597966,55;715753,78;858943,90;457963,86;267948,86;522163,27;627553,13;394970,00;7013581,40
"51 Mato Grosso";203568,06;51964,71;119239,68;117960,12;131682,07;200761,97;407856,50;184278,96;133232,77;123024,19;166831,94;150187,41;141519,60;34701,22;2166809,20
"52 Goiás";567994,56;491922,24;719412,67;550827,42;676379,59;942295,15;373563,61;402052,14;497453,84;337462,92;505268,07;597118,03;444307,82;148605,37;7254663,43
"53 Distrito Federal";63250,80;89347,47;48517,01;34607,50;65658,74;64140,10;44396,45;54240,48;64965,81;78738,57;205981,74;322913,98;329346,89;96181,94;1562287,48
"Total";21891754,39;23809810,99;25884320,42;32410682,60;33488244,48;30473662,44;27255916,73;30413167,03;30224788,48;30062421,92;32159396,15;33069174,30;32301565,60;10588306,40;394033211,93
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
